,Day,Month,Year,SampleDescription,Latitude,Longitude,Genus,Species,Abundance
57,22,7,2010,AQUE_3_34.46793333_-120.1192833,34.46793333,-120.1192833,Gibbonsia,spp.,1
58,22,7,2010,AQUE_3_34.46793333_-120.1192833,34.46793333,-120.1192833,Sebastes,spp.,4
59,22,7,2010,AQUE_4_34.46746667_-120.1171833,34.46746667,-120.1171833,Embiotoca,jacksoni,1
60,22,7,2010,AQUE_4_34.46746667_-120.1171833,34.46746667,-120.1171833,Rhinogobiops,nicholsii,1
61,22,7,2010,AQUE_4_34.46746667_-120.1171833,34.46746667,-120.1171833,Oxylebius,pictus,3
62,22,7,2010,AQUE_5_34.46685_-120.11735,34.46685,-120.11735,Neoclinus,blanchardi,1
63,22,7,2010,AQUE_5_34.46685_-120.11735,34.46685,-120.11735,Oxyjulis,californica,4
64,22,7,2010,AQUE_5_34.46685_-120.11735,34.46685,-120.11735,Embiotoca,jacksoni,1
65,22,7,2010,AQUE_5_34.46685_-120.11735,34.46685,-120.11735,Rhinogobiops,nicholsii,7
66,22,7,2010,AQUE_5_34.46685_-120.11735,34.46685,-120.11735,Oxylebius,pictus,14
67,22,7,2010,AQUE_5_34.46685_-120.11735,34.46685,-120.11735,Cottid,spp.,1
68,22,7,2010,AQUE_5_34.46685_-120.11735,34.46685,-120.11735,Rhacochilus,vacca,2
69,22,7,2010,AQUE_6_34.46755_-120.12085,34.46755,-120.12085,Cymatogaster,aggregata,15
70,22,7,2010,AQUE_6_34.46755_-120.12085,34.46755,-120.12085,Oxyjulis,californica,5
71,22,7,2010,AQUE_6_34.46755_-120.12085,34.46755,-120.12085,Hypsurus,caryi,1
72,22,7,2010,AQUE_6_34.46755_-120.12085,34.46755,-120.12085,Aulorhynchus,flavidus,6
73,22,7,2010,AQUE_6_34.46755_-120.12085,34.46755,-120.12085,Phanerodon,furcatus,7
74,22,7,2010,AQUE_6_34.46755_-120.12085,34.46755,-120.12085,Scorpaena,guttata,1
75,22,7,2010,AQUE_6_34.46755_-120.12085,34.46755,-120.12085,Leiocottus,hirundo,1
76,22,7,2010,AQUE_6_34.46755_-120.12085,34.46755,-120.12085,Rhinogobiops,nicholsii,10
77,22,7,2010,AQUE_6_34.46755_-120.12085,34.46755,-120.12085,Sebastes,spp.,4
78,22,7,2010,AQUE_6_34.46755_-120.12085,34.46755,-120.12085,Oxylebius,pictus,4
79,22,7,2010,AQUE_6_34.46755_-120.12085,34.46755,-120.12085,Gibbonsia,spp.,1
80,22,7,2010,AQUE_6_34.46755_-120.12085,34.46755,-120.12085,Sebastes,spp.,2
81,22,7,2010,AQUE_6_34.46755_-120.12085,34.46755,-120.12085,Citharichthys,stigmaeus,4
82,26,7,2010,BULL_1_34.45888333_-120.3334333,34.45888333,-120.3334333,Sebastes,atrovirens,1
83,26,7,2010,BULL_1_34.45888333_-120.3334333,34.45888333,-120.3334333,Sebastes,carnatus,5
84,26,7,2010,BULL_1_34.45888333_-120.3334333,34.45888333,-120.3334333,Leiocottus,hirundo,1
85,26,7,2010,BULL_1_34.45888333_-120.3334333,34.45888333,-120.3334333,Embiotoca,jacksoni,1
86,26,7,2010,BULL_1_34.45888333_-120.3334333,34.45888333,-120.3334333,Sebastes,spp.,2
87,26,7,2010,BULL_1_34.45888333_-120.3334333,34.45888333,-120.3334333,Oxylebius,pictus,1
88,26,7,2010,BULL_1_34.45888333_-120.3334333,34.45888333,-120.3334333,Cottid,spp.,1
89,26,7,2010,BULL_3_34.45848333_-120.3334833,34.45848333,-120.3334833,Sebastes,carnatus,1
90,26,7,2010,BULL_3_34.45848333_-120.3334833,34.45848333,-120.3334833,Brachyistius,frenatus,3
91,26,7,2010,BULL_6_34.45815_-120.33355,34.45815,-120.33355,Oxyjulis,californica,3
92,26,7,2010,BULL_6_34.45815_-120.33355,34.45815,-120.33355,Sebastes,carnatus,6
93,26,7,2010,BULL_6_34.45815_-120.33355,34.45815,-120.33355,Phanerodon,furcatus,1
94,26,7,2010,BULL_6_34.45815_-120.33355,34.45815,-120.33355,Leiocottus,hirundo,1
95,26,7,2010,BULL_6_34.45815_-120.33355,34.45815,-120.33355,Embiotoca,jacksoni,3
96,26,7,2010,BULL_6_34.45815_-120.33355,34.45815,-120.33355,Sebastes,spp.,1
97,26,7,2010,BULL_6_34.45815_-120.33355,34.45815,-120.33355,Sebastes,spp.,20
98,26,7,2010,BULL_6_34.45815_-120.33355,34.45815,-120.33355,Cottid,spp.,2
99,21,7,2010,CARP_1_34.39241667_-119.5438,34.39241667,-119.5438,Oxyjulis,californica,35
100,21,7,2010,CARP_1_34.39241667_-119.5438,34.39241667,-119.5438,Medialuna,californiensis,2
101,21,7,2010,CARP_1_34.39241667_-119.5438,34.39241667,-119.5438,Paralabrax,clathratus,2
102,21,7,2010,CARP_1_34.39241667_-119.5438,34.39241667,-119.5438,Embiotoca,jacksoni,8
103,21,7,2010,CARP_1_34.39241667_-119.5438,34.39241667,-119.5438,Oxylebius,pictus,1
104,21,7,2010,CARP_1_34.39241667_-119.5438,34.39241667,-119.5438,Semicossyphus,pulcher,1
105,21,7,2010,CARP_1_34.39241667_-119.5438,34.39241667,-119.5438,Gibbonsia,spp.,1
106,21,7,2010,CARP_1_34.39241667_-119.5438,34.39241667,-119.5438,Rhacochilus,vacca,1
107,21,7,2010,CARP_2_34.39276667_-119.5403667,34.39276667,-119.5403667,Cymatogaster,aggregata,2
108,21,7,2010,CARP_2_34.39276667_-119.5403667,34.39276667,-119.5403667,Oxyjulis,californica,8
109,21,7,2010,CARP_2_34.39276667_-119.5403667,34.39276667,-119.5403667,Paralabrax,clathratus,2
110,21,7,2010,CARP_2_34.39276667_-119.5403667,34.39276667,-119.5403667,Anisotremus,davidsonii,2
111,21,7,2010,CARP_2_34.39276667_-119.5403667,34.39276667,-119.5403667,Heterodontus,francisci,1
112,21,7,2010,CARP_2_34.39276667_-119.5403667,34.39276667,-119.5403667,Embiotoca,jacksoni,1
113,21,7,2010,CARP_2_34.39276667_-119.5403667,34.39276667,-119.5403667,Scorpaenichthys,marmoratus,1
114,21,7,2010,CARP_3_34.39151667_-119.544,34.39151667,-119.544,Sebastes,auriculatus,1
115,21,7,2010,CARP_3_34.39151667_-119.544,34.39151667,-119.544,Paralabrax,clathratus,2
116,21,7,2010,CARP_3_34.39151667_-119.544,34.39151667,-119.544,Embiotoca,jacksoni,1
117,21,7,2010,CARP_3_34.39151667_-119.544,34.39151667,-119.544,Paralabrax,nebulifer,3
118,21,7,2010,CARP_3_34.39151667_-119.544,34.39151667,-119.544,Oxylebius,pictus,2
119,19,7,2010,CARP_4_34.39171667_-119.54165,34.39171667,-119.54165,Sebastes,auriculatus,1
120,19,7,2010,CARP_4_34.39171667_-119.54165,34.39171667,-119.54165,Paralabrax,clathratus,1
121,19,7,2010,CARP_4_34.39171667_-119.54165,34.39171667,-119.54165,Oxylebius,pictus,1
122,21,7,2010,CARP_5_34.39181667_-119.5393167,34.39181667,-119.5393167,Oxyjulis,californica,2
123,21,7,2010,CARP_5_34.39181667_-119.5393167,34.39181667,-119.5393167,Oxylebius,pictus,2
124,21,7,2010,CARP_5_34.39181667_-119.5393167,34.39181667,-119.5393167,Cottid,spp.,1
125,21,7,2010,CARP_6_34.39111667_-119.5441333,34.39111667,-119.5441333,Sebastes,auriculatus,1
126,21,7,2010,CARP_6_34.39111667_-119.5441333,34.39111667,-119.5441333,Paralabrax,nebulifer,1
127,21,7,2010,CARP_6_34.39111667_-119.5441333,34.39111667,-119.5441333,Rhinogobiops,nicholsii,1
128,21,7,2010,CARP_6_34.39111667_-119.5441333,34.39111667,-119.5441333,Oxylebius,pictus,2
129,19,7,2010,CARP_7_34.39123333_-119.5418333,34.39123333,-119.5418333,Oxyjulis,californica,3
130,19,7,2010,CARP_7_34.39123333_-119.5418333,34.39123333,-119.5418333,Paralabrax,clathratus,2
131,19,7,2010,CARP_7_34.39123333_-119.5418333,34.39123333,-119.5418333,Oxylebius,pictus,4
132,21,7,2010,CARP_8_34.3914_-119.5395333,34.3914,-119.5395333,Oxyjulis,californica,11
133,21,7,2010,CARP_8_34.3914_-119.5395333,34.3914,-119.5395333,Paralabrax,nebulifer,1
134,21,7,2010,CARP_8_34.3914_-119.5395333,34.3914,-119.5395333,Oxylebius,pictus,1
135,20,7,2010,GOLB_1_34.41378333_-119.8224,34.41378333,-119.8224,Sebastes,chrysomelas,1
136,20,7,2010,GOLB_1_34.41378333_-119.8224,34.41378333,-119.8224,Paralabrax,clathratus,2
137,20,7,2010,GOLB_1_34.41378333_-119.8224,34.41378333,-119.8224,Leiocottus,hirundo,1
138,20,7,2010,GOLB_1_34.41378333_-119.8224,34.41378333,-119.8224,Oxylebius,pictus,2
139,20,7,2010,GOLB_2_34.41365_-119.8218,34.41365,-119.8218,Hypsurus,caryi,3
140,20,7,2010,GOLB_2_34.41365_-119.8218,34.41365,-119.8218,Paralabrax,clathratus,1
141,20,7,2010,GOLB_2_34.41365_-119.8218,34.41365,-119.8218,Phanerodon,furcatus,5
142,20,7,2010,GOLB_2_34.41365_-119.8218,34.41365,-119.8218,Embiotoca,jacksoni,2
143,20,7,2010,GOLB_2_34.41365_-119.8218,34.41365,-119.8218,Oxylebius,pictus,1
144,20,7,2010,GOLB_2_34.41365_-119.8218,34.41365,-119.8218,Gibbonsia,spp.,1
145,20,7,2010,GOLB_2_34.41365_-119.8218,34.41365,-119.8218,Sebastes,spp.,4
146,20,7,2010,GOLB_2_34.41365_-119.8218,34.41365,-119.8218,Citharichthys,stigmaeus,3
147,20,7,2010,IVEE_1_34.40283333_-119.8578667,34.40283333,-119.8578667,Cottid,spp.,2
148,20,7,2010,IVEE_2_34.40273333_-119.8572333,34.40273333,-119.8572333,Neoclinus,blanchardi,2
149,20,7,2010,IVEE_2_34.40273333_-119.8572333,34.40273333,-119.8572333,Hypsurus,caryi,4
150,20,7,2010,IVEE_2_34.40273333_-119.8572333,34.40273333,-119.8572333,Phanerodon,furcatus,1
151,20,7,2010,IVEE_2_34.40273333_-119.8572333,34.40273333,-119.8572333,Cottid,spp.,1
152,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Sebastes,atrovirens,3
153,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Sebastes,auriculatus,1
154,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Oxyjulis,californica,8
155,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Sebastes,carnatus,1
156,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Hypsurus,caryi,1
157,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Sebastes,chrysomelas,1
158,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Ophiodon,elongatus,1
159,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Embiotoca,jacksoni,5
160,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Oxylebius,pictus,4
161,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Semicossyphus,pulcher,1
162,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Chromis,punctipinnis,1
163,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Sebastes,spp.,1
164,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Hypsypops,rubicundus,2
165,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Halichoeres,semicinctus,1
166,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Cottid,spp.,3
167,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Gibbonsia,spp.,1
168,23,7,2010,MOHK_1_34.39433333_-119.73,34.39433333,-119.73,Rhacochilus,vacca,2
169,23,7,2010,MOHK_2_34.39415_-119.7293667,34.39415,-119.7293667,Sebastes,atrovirens,1
170,23,7,2010,MOHK_2_34.39415_-119.7293667,34.39415,-119.7293667,Oxyjulis,californica,18
171,23,7,2010,MOHK_2_34.39415_-119.7293667,34.39415,-119.7293667,Embiotoca,jacksoni,4
172,23,7,2010,MOHK_2_34.39415_-119.7293667,34.39415,-119.7293667,Scorpaenichthys,marmoratus,1
173,23,7,2010,MOHK_2_34.39415_-119.7293667,34.39415,-119.7293667,Oxylebius,pictus,3
174,27,7,2010,NAPL_1_34.42233333_-119.9529333,34.42233333,-119.9529333,Sebastes,atrovirens,2
175,27,7,2010,NAPL_1_34.42233333_-119.9529333,34.42233333,-119.9529333,Oxyjulis,californica,50
176,27,7,2010,NAPL_1_34.42233333_-119.9529333,34.42233333,-119.9529333,Hypsurus,caryi,1
177,27,7,2010,NAPL_1_34.42233333_-119.9529333,34.42233333,-119.9529333,Sebastes,chrysomelas,1
178,27,7,2010,NAPL_1_34.42233333_-119.9529333,34.42233333,-119.9529333,Paralabrax,clathratus,1
179,27,7,2010,NAPL_1_34.42233333_-119.9529333,34.42233333,-119.9529333,Phanerodon,furcatus,11
180,27,7,2010,NAPL_1_34.42233333_-119.9529333,34.42233333,-119.9529333,Embiotoca,jacksoni,3
181,27,7,2010,NAPL_1_34.42233333_-119.9529333,34.42233333,-119.9529333,Embiotoca,lateralis,1
182,27,7,2010,NAPL_1_34.42233333_-119.9529333,34.42233333,-119.9529333,Scorpaenichthys,marmoratus,1
183,27,7,2010,NAPL_1_34.42233333_-119.9529333,34.42233333,-119.9529333,Rhinogobiops,nicholsii,2
184,27,7,2010,NAPL_1_34.42233333_-119.9529333,34.42233333,-119.9529333,Oxylebius,pictus,23
185,27,7,2010,NAPL_1_34.42233333_-119.9529333,34.42233333,-119.9529333,Semicossyphus,pulcher,4
186,27,7,2010,NAPL_1_34.42233333_-119.9529333,34.42233333,-119.9529333,Rhacochilus,vacca,2
187,27,7,2010,NAPL_2_34.42246667_-119.9523167,34.42246667,-119.9523167,Sebastes,atrovirens,1
188,27,7,2010,NAPL_2_34.42246667_-119.9523167,34.42246667,-119.9523167,Oxyjulis,californica,2
189,27,7,2010,NAPL_2_34.42246667_-119.9523167,34.42246667,-119.9523167,Sebastes,chrysomelas,1
190,27,7,2010,NAPL_2_34.42246667_-119.9523167,34.42246667,-119.9523167,Paralabrax,clathratus,1
191,27,7,2010,NAPL_2_34.42246667_-119.9523167,34.42246667,-119.9523167,Ophiodon,elongatus,1
192,27,7,2010,NAPL_2_34.42246667_-119.9523167,34.42246667,-119.9523167,Embiotoca,jacksoni,2
193,27,7,2010,NAPL_2_34.42246667_-119.9523167,34.42246667,-119.9523167,Scorpaenichthys,marmoratus,1
194,27,7,2010,NAPL_2_34.42246667_-119.9523167,34.42246667,-119.9523167,Rhinogobiops,nicholsii,3
195,27,7,2010,NAPL_2_34.42246667_-119.9523167,34.42246667,-119.9523167,Oxylebius,pictus,35
196,27,7,2010,NAPL_2_34.42246667_-119.9523167,34.42246667,-119.9523167,Hypsypops,rubicundus,1
197,27,7,2010,NAPL_2_34.42246667_-119.9523167,34.42246667,-119.9523167,Sebastes,spp.,1
198,27,7,2010,NAPL_3_34.42243333_-119.9517,34.42243333,-119.9517,Oxyjulis,californica,52
199,27,7,2010,NAPL_3_34.42243333_-119.9517,34.42243333,-119.9517,Hypsurus,caryi,4
200,27,7,2010,NAPL_3_34.42243333_-119.9517,34.42243333,-119.9517,Brachyistius,frenatus,18
201,27,7,2010,NAPL_3_34.42243333_-119.9517,34.42243333,-119.9517,Sebastes,mystinus,6
202,27,7,2010,NAPL_3_34.42243333_-119.9517,34.42243333,-119.9517,Rhinogobiops,nicholsii,1
203,27,7,2010,NAPL_3_34.42243333_-119.9517,34.42243333,-119.9517,Oxylebius,pictus,14
204,27,7,2010,NAPL_3_34.42243333_-119.9517,34.42243333,-119.9517,Semicossyphus,pulcher,2
205,27,7,2010,NAPL_3_34.42243333_-119.9517,34.42243333,-119.9517,Chromis,punctipinnis,8
206,27,7,2010,NAPL_3_34.42243333_-119.9517,34.42243333,-119.9517,Rhacochilus,vacca,1
207,28,7,2010,NAPL_4_34.4223_-119.9519,34.4223,-119.9519,Oxyjulis,californica,26
208,28,7,2010,NAPL_4_34.4223_-119.9519,34.4223,-119.9519,Paralabrax,clathratus,1
209,28,7,2010,NAPL_4_34.4223_-119.9519,34.4223,-119.9519,Ophiodon,elongatus,1
210,28,7,2010,NAPL_4_34.4223_-119.9519,34.4223,-119.9519,Brachyistius,frenatus,6
211,28,7,2010,NAPL_4_34.4223_-119.9519,34.4223,-119.9519,Phanerodon,furcatus,1
212,28,7,2010,NAPL_4_34.4223_-119.9519,34.4223,-119.9519,Leiocottus,hirundo,1
213,28,7,2010,NAPL_4_34.4223_-119.9519,34.4223,-119.9519,Embiotoca,jacksoni,1
214,28,7,2010,NAPL_4_34.4223_-119.9519,34.4223,-119.9519,Scorpaenichthys,marmoratus,2
215,28,7,2010,NAPL_4_34.4223_-119.9519,34.4223,-119.9519,Sebastes,mystinus,1
216,28,7,2010,NAPL_4_34.4223_-119.9519,34.4223,-119.9519,Rhinogobiops,nicholsii,1
217,28,7,2010,NAPL_4_34.4223_-119.9519,34.4223,-119.9519,Sebastes,spp.,3
218,28,7,2010,NAPL_4_34.4223_-119.9519,34.4223,-119.9519,Oxylebius,pictus,6
219,28,7,2010,NAPL_4_34.4223_-119.9519,34.4223,-119.9519,Semicossyphus,pulcher,1
220,28,7,2010,NAPL_4_34.4223_-119.9519,34.4223,-119.9519,Hypsypops,rubicundus,5
221,28,7,2010,NAPL_4_34.4223_-119.9519,34.4223,-119.9519,Rhacochilus,vacca,1
222,28,7,2010,NAPL_5_34.42188333_-119.9512833,34.42188333,-119.9512833,Sebastes,atrovirens,1
223,28,7,2010,NAPL_5_34.42188333_-119.9512833,34.42188333,-119.9512833,Hypsurus,caryi,2
224,28,7,2010,NAPL_5_34.42188333_-119.9512833,34.42188333,-119.9512833,Brachyistius,frenatus,3
225,28,7,2010,NAPL_5_34.42188333_-119.9512833,34.42188333,-119.9512833,Embiotoca,jacksoni,2
226,28,7,2010,NAPL_5_34.42188333_-119.9512833,34.42188333,-119.9512833,Sebastes,mystinus,10
227,28,7,2010,NAPL_5_34.42188333_-119.9512833,34.42188333,-119.9512833,Rhinogobiops,nicholsii,9
228,28,7,2010,NAPL_5_34.42188333_-119.9512833,34.42188333,-119.9512833,Oxylebius,pictus,16
229,28,7,2010,NAPL_5_34.42188333_-119.9512833,34.42188333,-119.9512833,Semicossyphus,pulcher,4
230,28,7,2010,NAPL_5_34.42188333_-119.9512833,34.42188333,-119.9512833,Cottid,spp.,1
231,28,7,2010,NAPL_5_34.42188333_-119.9512833,34.42188333,-119.9512833,Rhacochilus,vacca,2
232,27,7,2010,NAPL_6_34.42195_-119.9506333,34.42195,-119.9506333,Oxyjulis,californica,39
233,27,7,2010,NAPL_6_34.42195_-119.9506333,34.42195,-119.9506333,Sebastes,carnatus,3
234,27,7,2010,NAPL_6_34.42195_-119.9506333,34.42195,-119.9506333,Hypsurus,caryi,4
235,27,7,2010,NAPL_6_34.42195_-119.9506333,34.42195,-119.9506333,Phanerodon,furcatus,13
236,27,7,2010,NAPL_6_34.42195_-119.9506333,34.42195,-119.9506333,Embiotoca,jacksoni,4
237,27,7,2010,NAPL_6_34.42195_-119.9506333,34.42195,-119.9506333,Scorpaenichthys,marmoratus,1
238,27,7,2010,NAPL_6_34.42195_-119.9506333,34.42195,-119.9506333,Sebastes,mystinus,13
239,27,7,2010,NAPL_6_34.42195_-119.9506333,34.42195,-119.9506333,Rhinogobiops,nicholsii,10
240,27,7,2010,NAPL_6_34.42195_-119.9506333,34.42195,-119.9506333,Sebastes,spp.,1
241,27,7,2010,NAPL_6_34.42195_-119.9506333,34.42195,-119.9506333,Oxylebius,pictus,36
242,27,7,2010,NAPL_6_34.42195_-119.9506333,34.42195,-119.9506333,Semicossyphus,pulcher,1
243,27,7,2010,NAPL_6_34.42195_-119.9506333,34.42195,-119.9506333,Sebastes,spp.,2
244,27,7,2010,NAPL_6_34.42195_-119.9506333,34.42195,-119.9506333,Gibbonsia,spp.,1
245,27,7,2010,NAPL_6_34.42195_-119.9506333,34.42195,-119.9506333,Rhacochilus,vacca,5
246,28,7,2010,NAPL_7_34.42181667_-119.9518667,34.42181667,-119.9518667,Cymatogaster,aggregata,4
247,28,7,2010,NAPL_7_34.42181667_-119.9518667,34.42181667,-119.9518667,Sebastes,auriculatus,1
248,28,7,2010,NAPL_7_34.42181667_-119.9518667,34.42181667,-119.9518667,Oxyjulis,californica,39
249,28,7,2010,NAPL_7_34.42181667_-119.9518667,34.42181667,-119.9518667,Hypsurus,caryi,1
250,28,7,2010,NAPL_7_34.42181667_-119.9518667,34.42181667,-119.9518667,Sebastes,chrysomelas,1
251,28,7,2010,NAPL_7_34.42181667_-119.9518667,34.42181667,-119.9518667,Paralabrax,clathratus,2
252,28,7,2010,NAPL_7_34.42181667_-119.9518667,34.42181667,-119.9518667,Brachyistius,frenatus,11
253,28,7,2010,NAPL_7_34.42181667_-119.9518667,34.42181667,-119.9518667,Phanerodon,furcatus,8
254,28,7,2010,NAPL_7_34.42181667_-119.9518667,34.42181667,-119.9518667,Sebastes,mystinus,8
255,28,7,2010,NAPL_7_34.42181667_-119.9518667,34.42181667,-119.9518667,Rhinogobiops,nicholsii,9
256,28,7,2010,NAPL_7_34.42181667_-119.9518667,34.42181667,-119.9518667,Sebastes,spp.,1
257,28,7,2010,NAPL_7_34.42181667_-119.9518667,34.42181667,-119.9518667,Oxylebius,pictus,31
